Category,Metric,Value
retrieval,hybrid_recall_at_3,0.6
retrieval,hybrid_recall_at_5,1.0
retrieval,hybrid_mrr,1.0
retrieval,baseline_recall_at_3,0.524
retrieval,baseline_recall_at_5,0.724
retrieval,baseline_mrr,0.98
answer_quality,avg_semantic_similarity,0.6089
answer_quality,factual_similarity,0.5781
answer_quality,conceptual_similarity,0.649
answer_quality,multihop_similarity,0.5902
answer_quality,key_term_coverage,0.514
answer_quality,high_coverage_pct,60.0
answer_quality,hallucination_rate_pct,4.0
adversarial,not_found_accuracy_pct,70.0
adversarial,correct_refusals,7
adversarial,total_adversarial,10
performance,avg_latency_ms,107.0
performance,p50_latency_ms,102.6
performance,p95_latency_ms,148.5
performance,min_latency_ms,79.2
performance,max_latency_ms,274.0
dataset,total_queries,60
dataset,factual,20
dataset,conceptual,20
dataset,multi_hop,10
dataset,adversarial,10
